id,birth_year,vocation,sun_deg,moon_deg,mercury_deg,venus_deg,mars_deg,jupiter_deg,saturn_deg,uranus_deg,neptune_deg,pluto_deg,aspects
0,1993,Pilot,162.1813,213.772,150.4919,136.4031,254.5041,253.0755,163.4513,247.4586,332.608,283.6181,Sun sq Mars; Sun sq Jupiter; Sun conj Saturn; Mars conj Jupiter; Mars sq Saturn; Jupiter sq Saturn
1,2000,Engineer,212.3243,289.406,195.4021,175.3428,80.9314,53.6362,95.6277,51.2051,21.4697,285.3463,Moon sq Mercury; Venus sq Mars
2,1999,Physician,269.6248,204.9145,257.787,233.5627,247.9241,251.9041,339.3634,180.17,177.7663,28.9591,Mercury conj Jupiter; Mars conj Jupiter; Mars sq Saturn; Jupiter sq Saturn
3,1981,Engineer,320.1922,264.4322,326.0002,274.6753,82.4128,242.7474,309.7861,211.3643,7.4684,275.3137,Sun conj Mercury; Moon opp Mars
4,1988,Engineer,207.4489,274.7192,189.2596,209.2694,159.2026,100.1364,358.9004,156.9186,293.1282,348.8599,Sun conj Venus; Moon sq Mercury; Moon opp Jupiter; Moon sq Saturn; Mercury sq Jupiter
5,1995,Pilot,125.266,119.991,134.7935,159.6084,118.7293,249.7225,103.7584,340.2697,292.8838,198.0348,Sun conj Moon; Sun conj Mars; Moon conj Mars; Venus sq Jupiter
6,1994,Pilot,31.7015,90.8636,10.1931,57.8661,311.3678,296.9738,0.4144,312.9723,166.3115,19.5135,Sun sq Jupiter; Moon sq Saturn
7,1996,Scientist,130.2406,272.3195,137.2635,155.1997,73.281,197.7191,333.9622,157.7218,251.37,43.7134,Sun conj Mercury; Venus opp Saturn
8,2000,Scientist,219.1938,86.1471,200.063,224.0743,198.8105,33.5553,357.2126,328.6548,166.1212,42.2878,Sun conj Venus; Sun opp Jupiter; Moon sq Saturn; Mercury conj Mars
9,1984,Engineer,179.4152,257.9772,179.912,157.664,300.5006,352.8881,87.7431,198.4554,138.091,331.8725,Sun conj Mercury; Sun opp Jupiter; Sun sq Saturn; Moon sq Jupiter; Mercury opp Jupiter; Mercury sq Saturn; Jupiter sq Saturn
10,1996,Pilot,268.6653,278.163,288.5124,253.2933,283.5783,96.1822,0.9235,261.3784,301.4913,208.7724,Sun opp Jupiter; Sun sq Saturn; Moon conj Mars; Moon opp Jupiter; Mercury conj Mars; Mars opp Jupiter; Jupiter sq Saturn
11,1995,Engineer,311.4938,160.7571,310.6169,295.408,274.6342,135.7956,335.8268,313.0566,353.0789,85.97,Sun conj Mercury; Sun opp Jupiter; Moon opp Saturn; Mercury opp Jupiter
12,1992,Engineer,84.0825,15.713,97.786,103.7844,292.1072,138.9884,238.928,295.4691,353.0945,178.3183,Moon sq Venus; Mercury conj Venus
13,1981,Engineer,45.4487,119.5181,23.0691,78.5724,35.8962,327.759,5.5251,51.8959,313.5359,349.1844,
14,1982,Pilot,169.0166,348.9133,159.976,187.5163,233.9412,306.6355,306.8429,309.3632,136.8034,113.998,Sun opp Moon; Jupiter conj Saturn
15,1995,Engineer,314.0579,227.218,337.6299,1.8108,268.8359,156.2297,35.4395,228.1492,314.1285,159.7243,Sun sq Moon; Mercury opp Jupiter; Venus sq Mars
16,1989,Scientist,325.2327,286.6116,313.6613,313.2174,52.4051,191.2199,203.7341,285.307,61.1941,28.4286,Sun sq Mars; Moon sq Jupiter; Mercury conj Venus
17,1992,Scientist,223.0957,86.6987,246.2142,188.835,166.014,91.4318,91.9176,3.3831,289.6679,324.4354,Moon conj Jupiter; Moon conj Saturn; Jupiter conj Saturn
18,1997,Engineer,56.8712,159.0227,48.2229,65.2781,230.0179,152.7512,90.0354,304.3094,71.7181,138.4896,Sun opp Mars; Sun sq Jupiter; Moon sq Venus; Moon conj Jupiter; Mercury opp Mars; Venus sq Jupiter
19,1995,Engineer,38.3952,137.2911,30.4969,18.7989,251.7405,7.8983,298.8135,142.4901,2.9153,311.4243,Sun conj Mercury; Mercury sq Saturn
20,1981,Scientist,327.8221,268.262,346.4611,6.5039,279.2668,82.8426,288.6955,78.8416,68.4475,90.2256,Moon opp Jupiter; Venus sq Mars
21,1984,Pilot,226.1693,325.2253,234.3644,207.8269,158.6963,208.6466,263.6495,32.448,106.2398,269.0931,Moon sq Mercury; Venus conj Jupiter
22,1985,Scientist,72.2861,131.7087,72.3866,50.4488,59.236,329.0576,339.9076,348.2583,106.2509,313.3429,Sun conj Mercury; Sun sq Saturn; Mercury sq Saturn; Mars sq Jupiter
23,1983,Scientist,168.5993,27.1078,182.8318,142.2583,243.4765,242.7862,143.0681,304.468,200.6325,32.509,Venus conj Saturn; Mars conj Jupiter
24,1992,Engineer,5.0107,163.723,14.6891,21.5554,210.4416,296.0702,338.5051,39.0046,84.1759,9.0089,Moon opp Saturn; Mercury conj Venus; Venus sq Jupiter; Mars sq Jupiter
25,1997,Pilot,118.0823,219.6296,126.3508,131.081,167.1363,252.3878,233.7262,42.0033,16.3249,13.3964,Moon sq Mercury; Moon sq Venus; Mercury conj Venus; Mars sq Jupiter
